loan_id,facility_id,loan_cost,facility_cost,full_cost
277,1,38723.06,2573.4,41296.46
278,1,38723.06,22843.5,61566.56
279,1,38723.06,14015.4,52738.46
280,1,38723.06,22152.55,60875.61
281,13,34480.950000000004,20950.5,55431.450000000004
282,13,34480.950000000004,21575.05,56056
283,13,34480.950000000004,13083.9,47564.850000000006
284,13,34480.950000000004,12399.449999999999,46880.4
285,13,34480.950000000004,29363.249999999996,63844.2
286,1,38723.06,3334.5,42057.56
287,2,49287,14101.199999999999,63388.2
288,1,38723.06,1974.75,40697.81
289,13,34480.950000000004,13504.4,47985.350000000006
290,13,34480.950000000004,7426.25,41907.200000000004
291,2,49287,9646.35,58933.35
292,2,49287,27748,77035
293,2,49287,25312,74599
294,2,49287,23847.75,73134.75
295,1,38723.06,7648.9,46371.96
296,2,49287,13890.449999999999,63177.45
297,2,49287,6832.05,56119.05
298,2,49287,13513.5,62800.5
299,2,49287,10187.8,59474.8
300,2,49287,7961.099999999999,57248.1
301,2,49287,31724.35,81011.35
302,2,49287,16794.75,66081.75
303,2,49287,33068,82355
304,2,49287,12127.5,61414.5
305,2,49287,10162,59449
306,2,49287,6283.65,55570.65
307,13,34480.950000000004,8230.949999999999,42711.9
308,2,49287,24842.25,74129.25
309,2,49287,1819.05,51106.05
310,2,49287,2942.75,52229.75
311,2,49287,28884.1,78171.1
312,2,49287,15126.3,64413.3
313,2,49287,24435.5,73722.5
314,2,49287,10727,60014
315,2,49287,11354.5,60641.5
316,2,49287,20649.649999999998,69936.65
317,2,49287,13900.5,63187.5
318,10,127740.29999999999,8524.05,136264.34999999998
319,10,127740.29999999999,21160.25,148900.55
320,10,127740.29999999999,25480.699999999997,153221
321,2,49287,4414.2,53701.2
322,10,127740.29999999999,33609.45,161349.75
323,2,49287,9012,58299
324,10,127740.29999999999,25698.75,153439.05
325,10,127740.29999999999,11733.75,139474.05
326,10,127740.29999999999,13636.8,141377.09999999998
327,10,127740.29999999999,14200.199999999999,141940.5
328,10,127740.29999999999,2560.0499999999997,130300.34999999999
329,10,127740.29999999999,13837.5,141577.8
330,10,127740.29999999999,10151.85,137892.15
331,10,127740.29999999999,24328.5,152068.8
332,10,127740.29999999999,28631.399999999998,156371.69999999998
333,10,127740.29999999999,30357.949999999997,158098.25
334,10,127740.29999999999,4555.25,132295.55
335,10,127740.29999999999,12484.5,140224.8
336,10,127740.29999999999,7767.75,135508.05
337,10,127740.29999999999,23205.75,150946.05
338,10,127740.29999999999,2082.9,129823.19999999998
339,10,127740.29999999999,2713.5,130453.79999999999
340,10,127740.29999999999,14987,142727.3
341,10,127740.29999999999,4886,132626.3
342,10,127740.29999999999,19644.25,147384.55
343,10,127740.29999999999,12772,140512.3
344,10,127740.29999999999,13707.449999999999,141447.75
345,10,127740.29999999999,8812.65,136552.94999999998
346,10,127740.29999999999,9101.5,136841.8
347,10,127740.29999999999,19576.55,147316.84999999998
348,10,127740.29999999999,16177.75,143918.05
349,10,127740.29999999999,6527.099999999999,134267.4
350,10,127740.29999999999,14942.849999999999,142683.15
351,10,127740.29999999999,8651.65,136391.94999999998
352,10,127740.29999999999,33297.95,161038.25
353,10,127740.29999999999,4706.7,132447
354,10,127740.29999999999,4910.4,132650.69999999998
355,10,127740.29999999999,17522.399999999998,145262.69999999998
356,8,111703.20000000001,16100.25,127803.45000000001
357,8,111703.20000000001,4661.299999999999,116364.50000000001
358,8,111703.20000000001,20408.85,132112.05000000002
359,8,111703.20000000001,31255.35,142958.55000000002
360,8,111703.20000000001,3538.7999999999997,115242.00000000001
361,8,111703.20000000001,21815.149999999998,133518.35
362,8,111703.20000000001,8650.199999999999,120353.40000000001
363,8,111703.20000000001,11574,123277.20000000001
364,8,111703.20000000001,7122.45,118825.65000000001
